id,price,latitude,longitude,room_type,minimum_nights,number_of_reviews,availability_365
878464,500.0,30.27651,-97.71919,Entire home/apt,2,3,0
879070,98.0,30.320559999999997,-97.7495,Private room,30,168,149
883970,138.0,30.24575,-97.74799999999999,Entire home/apt,2,15,244
887185,250.0,30.29328,-97.7684,Entire home/apt,30,1,0
890163,149.0,30.253259999999997,-97.72617,Entire home/apt,2,183,119
890188,150.0,30.2601,-97.76518,Entire home/apt,3,3,173
890680,495.0,30.25266,-97.78441,Entire home/apt,2,4,365
892124,103.0,30.246170000000003,-97.76966999999999,Entire home/apt,2,151,285
893630,198.0,30.252679999999998,-97.72162,Entire home/apt,30,46,0
895352,600.0,30.28087,-97.70546,Entire home/apt,3,6,0
900420,150.0,30.2936,-97.70568,Entire home/apt,5,0,365
904354,429.0,30.260690000000004,-97.72331,Entire home/apt,2,194,316
905360,141.0,30.279609999999998,-97.71591,Entire home/apt,100,184,126
908424,495.0,30.246840000000002,-97.7446,Entire home/apt,3,9,1
910250,116.0,30.2612,-97.76586,Entire home/apt,30,39,347
910957,375.0,30.29938,-97.74284,Private room,1,0,365
916328,350.0,30.239359999999998,-97.78139,Entire home/apt,5,0,365
916900,425.0,30.255259999999996,-97.73167,Entire home/apt,3,2,0
917823,85.0,30.3614,-97.71967,Entire home/apt,2,87,75
917932,150.0,30.26595,-97.74144,Entire home/apt,2,226,283
918204,121.0,30.2358,-97.77793,Entire home/apt,2,258,317
918416,480.0,30.31505,-97.73248000000001,Entire home/apt,2,0,365
918617,164.0,30.39472,-97.66879,Private room,1,0,365
923138,225.0,30.31635,-97.68109,Private room,5,0,365
925943,400.0,30.37743,-97.68401,Entire home/apt,1,0,365
925980,89.0,30.2253,-97.86655,Private room,3,2,0
926034,150.0,30.34422,-97.79106,Entire home/apt,4,60,106
926804,150.0,30.23988,-97.7335,Entire home/apt,3,4,365
929579,150.0,30.27617,-97.76189000000001,Entire home/apt,5,0,0
929758,250.0,30.25481,-97.7356,Entire home/apt,4,21,12
929974,77.0,30.234209999999997,-97.78471,Private room,2,10,280
931667,300.0,30.24605,-97.74351,Entire home/apt,2,6,0
932231,249.0,30.27914,-97.75668,Entire home/apt,2,51,295
934074,120.0,30.30295,-97.72932,Entire home/apt,2,107,43
934471,148.0,30.27494,-97.75043000000001,Private room,2,3,0
936349,74.0,30.45617,-97.75695,Private room,2,41,0
937157,210.0,30.24472,-97.73524,Entire home/apt,30,88,136
937923,180.0,30.200870000000002,-97.7533,Entire home/apt,3,20,363
939240,129.0,30.32077,-97.72199,Entire home/apt,90,54,164
942588,500.0,30.19707,-97.80803,Entire home/apt,4,0,365
942734,500.0,30.278859999999998,-97.75973,Entire home/apt,1,7,365
942843,225.0,30.38086,-97.67031999999999,Entire home/apt,3,1,358
942883,90.0,30.299429999999997,-97.73549,Entire home/apt,30,182,54
943528,200.0,30.265279999999997,-97.74061999999999,Entire home/apt,1,425,1
943616,150.0,30.268040000000003,-97.72143,Entire home/apt,4,0,0
945590,150.0,30.27986,-97.79904,Entire home/apt,5,0,365
945830,221.0,30.29115,-97.71075,Entire home/apt,3,22,0
946813,399.0,30.313709999999997,-97.69227,Entire home/apt,5,0,0
947412,139.0,30.20038,-97.79538000000001,Entire home/apt,30,40,62
947423,250.0,30.25977,-97.69713,Private room,3,0,0
949054,209.0,30.26551,-97.74185,Entire home/apt,180,162,0
949922,71.0,30.2994,-97.67747,Entire home/apt,1,870,297
951272,66.0,30.280859999999997,-97.74529,Entire home/apt,1,775,344
953071,114.0,30.261359999999996,-97.71845,Entire home/apt,1,78,0
954116,120.0,30.24366,-97.73849,Entire home/apt,2,203,242
955519,200.0,30.2086,-97.76881999999999,Entire home/apt,3,0,364
955612,169.0,30.218329999999998,-97.72652,Entire home/apt,2,125,287
956708,60.0,30.308320000000002,-97.72961,Entire home/apt,30,11,263
957282,150.0,30.26009,-97.77848,Entire home/apt,4,8,0
957405,350.0,30.32112,-97.8298,Private room,1,0,365
958172,88.0,30.254609999999996,-97.7218,Entire home/apt,28,216,73
958210,225.0,30.2523,-97.72553,Entire home/apt,2,162,71
959630,150.0,30.25447,-97.76803000000001,Entire home/apt,5,158,355
960315,301.0,30.32493,-97.71633,Entire home/apt,2,161,326
961883,160.0,30.26993,-97.74358000000001,Entire home/apt,1,399,41
966550,295.0,30.2731,-97.71986,Entire home/apt,3,0,365
968064,150.0,30.25041,-97.72592,Entire home/apt,3,2,365
968725,253.0,30.23405,-97.74964,Entire home/apt,2,30,288
968844,400.0,30.251070000000002,-97.72451,Entire home/apt,3,18,129
968883,151.0,30.24645,-97.73831,Entire home/apt,3,32,42
972878,75.0,30.28991,-97.76323000000001,Entire home/apt,30,146,146
973664,116.0,30.24415,-97.74386,Entire home/apt,30,6,321
974793,100.0,30.25677,-97.75301,Entire home/apt,30,0,242
975093,86.0,30.244229999999998,-97.74776999999999,Entire home/apt,3,60,354
977492,81.0,30.25212,-97.72379000000001,Entire home/apt,2,428,75
978089,200.0,30.285729999999997,-97.72013000000001,Private room,1,1,0
978566,260.0,30.22915,-97.7647,Private room,5,3,42
980424,204.0,30.25808,-97.72577,Entire home/apt,4,143,6
980785,350.0,30.28408,-97.74417,Private room,1,0,0
981020,150.0,30.296540000000004,-97.86288,Entire home/apt,365,0,365
983864,176.0,30.26551,-97.74185,Entire home/apt,180,109,0
985426,63.0,30.27498,-97.704,Private room,30,20,321
986136,480.0,30.22577,-97.75327,Entire home/apt,1,0,365
996332,96.0,30.249670000000002,-97.75594,Private room,2,200,79
999823,116.0,30.246890000000004,-97.75171,Entire home/apt,3,276,42
1001303,307.0,30.336679999999998,-97.72705,Entire home/apt,2,61,156
1013629,86.0,30.259290000000004,-97.71145,Entire home/apt,2,359,117
1021139,90.0,30.29087,-97.71895,Entire home/apt,1,951,0
1024597,149.0,30.27045,-97.74746999999999,Private room,3,89,364
1034604,150.0,30.26268,-97.77688,Entire home/apt,2,12,0
1042961,220.0,30.22205,-97.72255,Entire home/apt,3,3,0
1059128,181.0,30.32896,-97.68712,Entire home/apt,2,149,348
1074064,75.0,30.488690000000002,-97.77277,Private room,1,8,365
1080704,70.0,30.28,-97.74403000000001,Entire home/apt,1,707,43
1086338,519.0,30.24411,-97.72525,Private room,360,0,365
1109489,200.0,30.30537,-97.69641999999999,Private room,1,202,323
1117880,218.0,30.15597,-97.80339000000001,Entire home/apt,2,73,342
1126920,575.0,30.24345,-97.75601999999999,Entire home/apt,2,202,297
1135629,150.0,30.25948,-97.73205,Entire home/apt,3,4,258
1141445,75.0,30.275,-97.70403,Private room,30,17,256
1143126,240.0,30.294179999999997,-97.7348,Entire home/apt,1,0,0
1148536,425.0,30.2557,-97.73613,Entire home/apt,2,239,321
1157268,172.0,30.26428,-97.7399,Entire home/apt,2,155,319
1157317,200.0,30.26432,-97.74107,Entire home/apt,2,147,339
1162922,129.0,30.26592,-97.74216,Entire home/apt,2,156,322
1165854,63.0,30.25592,-97.75639,Entire home/apt,10,26,314
1182544,80.0,30.32702,-97.76043,Entire home/apt,30,154,172
1197928,250.0,30.21728,-97.79814,Entire home/apt,2,0,0
1206474,100.0,30.292659999999998,-97.71242,Private room,1,98,226
1213690,213.0,30.257659999999998,-97.72323,Entire home/apt,1,461,249
1248702,90.0,30.31386,-97.73898,Entire home/apt,2,262,254
1255816,111.0,30.243570000000002,-97.74217,Entire home/apt,1,474,337
1278532,120.0,30.25635,-97.72405,Entire home/apt,1,579,289
1283113,150.0,30.26645,-97.73816,Entire home/apt,1,60,170
1296548,94.0,30.2916,-97.68569000000001,Entire home/apt,30,8,14
1317291,89.0,30.25279,-97.71781999999999,Entire home/apt,30,143,0
1321453,234.0,30.2281,-97.72655999999999,Private room,1,0,0
1327668,70.0,30.33855,-97.74428,Private room,3,190,0
1342654,131.0,30.25974,-97.75369,Entire home/apt,30,150,353
1343707,695.0,30.31268,-97.80034,Entire home/apt,3,59,262
1347317,465.0,30.26033,-97.7134,Entire home/apt,1,250,322
1349780,399.0,30.253140000000002,-97.83253,Entire home/apt,2,46,73
1369433,150.0,30.257509999999996,-97.76552,Entire home/apt,2,10,365
1388265,375.0,30.336740000000002,-97.74377,Entire home/apt,3,140,299
